"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2016-05-31,68034,"24184","VA","Roanoke","Franklin","Wirtz",9931,234300,0.00213857998289136,0.00256739409499358,-0.0269933554817276,0.00249401103501734,-0.0176609110144,"2008-02","2008-Q1",313200,-0.251915708812261,"2004-09"
2016-05-31,60940,"08049","NJ","Philadelphia","Camden","Magnolia",9932,149200,-0.00466977985323549,-0.00599600266489007,0.0368311327310632,-0.00133511824761112,-0.0220672314570715,"2006-09","2006-Q3",189700,-0.213494992092778,"2005-01"
2016-05-31,76648,"43344","OH","Columbus","Union","Richwood",9933,133700,0.00300075018754689,0.000748502994011976,0.0552486187845304,0.0403631380044485,0.0159786373693704,"2016-05","2016-Q2",133700,0,"2016-05"
2016-05-31,61159,"08735","NJ","New York","Ocean","Lavallette",9934,508700,-0.00235340262796627,0.00275970825941258,0.0671281728550451,-0.0122001605511904,-0.0268606605047353,"2006-04","2006-Q2",671600,-0.242555092316855,"2004-05"
2016-05-31,71300,"30739","GA","Chattanooga","Walker","Rock Spring",9935,133700,0.00375375375375375,0.0159574468085106,0.0159574468085106,0.0244307625416613,-0.0043802567842478,"2008-05","2008-Q2",147300,-0.0923285811269518,"2004-09"
2016-05-31,78501,"47243","IN","Madison","Jefferson","Hanover",9936,90100,0.00111111111111111,0.00558035714285714,0.0123595505617978,0.00959298766582961,-0.000663499037780513,"2005-10","2005-Q4",106900,-0.157156220767072,"2004-08"
2016-05-31,63434,"14131","NY","Buffalo","Niagara","Ransomville",9937,142700,-0.000700280112044818,0.00848056537102473,0.0777945619335347,0.0349131399855378,0.0259955803251215,"2016-04","2016-Q2",142800,-0.000700280112044818,"2016-04"
2016-05-31,97169,"93234","CA","Fresno","Fresno","Huron",9938,150800,0.00802139037433155,0.0582456140350877,0.117037037037037,0.0389069697434961,-0.000989290761642447,"2007-07","2007-Q3",163600,-0.078239608801956,"2006-05"
2016-05-31,70672,"29696","SC","Seneca","Oconee","West Union",9939,150800,-0.00132450331125828,0.0006635700066357,0.1071953010279,0.0187858907710943,,"2009-08","2009-Q3",151500,-0.00462046204620462,
2016-05-31,92585,"78652","TX","Austin","Travis","San Leanna",9940,266000,0.0056710775047259,0.0211132437619962,0.112970711297071,0.0621144281820163,,"2016-05","2016-Q2",266000,0,"2016-05"
2016-05-31,58806,"02557","MA","Vineyard Haven","Dukes","Vineyard Haven",9941,540200,-0.0033210332103321,-0.002953119232189,0.0799680127948821,0.0411303409909449,-0.00691230299143009,"2006-11","2006-Q4",598600,-0.0975609756097561,"2005-02"
2016-05-31,59254,"03860","NH",,"Carroll","Town of Conway",9942,178900,0.0113058224985868,0.0118778280542986,0.0170551449687322,0.0206752004994146,-0.0141015860216515,"2007-05","2007-Q2",239200,-0.252090301003345,
2016-05-31,74406,"37658","TN","Johnson City","Carter","Hampton",9943,91600,-0.0129310344827586,-0.0438413361169102,-0.019271948608137,-0.000218197707883672,0.0172502782843122,"2015-12","2015-Q4",98500,-0.0700507614213198,"2014-11"
2016-05-31,98065,"95236","CA","Stockton","San Joaquin","Linden",9944,349200,0.00576036866359447,0.0237467018469657,0.0659340659340659,0.0653968922318104,-0.0322368471403541,"2006-01","2006-Q1",493200,-0.291970802919708,"2004-06"
2016-05-31,100049,"99003","WA","Spokane","Spokane","Chattaroy",9945,264300,-0.00113378684807256,0.00877862595419847,0.042603550295858,0.025970423481066,0.00347055822561759,"2008-02","2008-Q1",290000,-0.0886206896551724,"2006-08"
2016-05-31,71993,"32431","FL",,"Jackson","Cottondale",9946,69700,0.0145560407569141,0.028023598820059,0.0496987951807229,-0.0137604029618195,,"2009-08","2009-Q3",87900,-0.207053469852105,
2016-05-31,82057,"55037","MN",,"Pine","Hinckley",9947,121400,-0.0122050447518308,-0.0272435897435897,0.091726618705036,0.0818995919527115,-0.0135180217214198,"2006-08","2006-Q3",141000,-0.139007092198582,"2005-04"
2016-05-31,99303,"97458","OR","Coos Bay","Coos","Myrtle Point",9948,138100,-0.00360750360750361,-0.0135714285714286,0.0414781297134238,0.0207869922367112,,"2009-09","2009-Q3",141400,-0.0233380480905233,
2016-05-31,85919,"63101","MO","St. Louis","Saint Louis City","Saint Louis",9949,169400,-0.00819672131147541,-0.0429378531073446,-0.203198494825964,-0.0254450352914715,-0.00682080751887348,"2004-02","2004-Q1",241500,-0.298550724637681,
2016-05-31,62416,"12134","NY","Albany","Saratoga","Edinburg",9950,172800,0.0105263157894737,0.0365926814637073,0.0365926814637073,-0.00624693992723213,0.00323986188173997,"2007-09","2007-Q3",190300,-0.0919600630583289,"2006-09"
2016-05-31,99883,"98576","WA","Olympia","Thurston","Rainier",9951,226300,0.00177069499778663,0.0116227089852481,0.0438191881918819,0.0266645755955766,-0.00101070876160325,"2008-07","2008-Q3",248600,-0.0897023330651649,"2006-03"
2016-05-31,65705,"19025","PA","Philadelphia","Montgomery","Dresher",9952,397900,0.00606826801517067,0.0213039014373717,0.021041827046446,0.0140435265843109,-0.00588675827267626,"2006-04","2006-Q2",423500,-0.0604486422668241,"2005-07"
2016-05-31,86392,"64158","MO","Kansas City","Jackson","Kansas City",9953,192900,0.00207792207792208,0.0025987525987526,0.0222575516693164,0.015410231240327,-0.00154205032057986,"2005-11","2005-Q4",200100,-0.0359820089955022,"2003-11"
